timestamp,runtime,memory,payload_size,mode,init_duration_ms,duration_ms,billed_duration_ms,max_memory_mb,request_id
2026-04-30T08:35:58Z,java-jvm-snapstart-primed,512,1k,cold,916.72,11029,11029,170,b1fbda05-a906-407a-9322-fbfea231c0f0
2026-04-30T08:37:29Z,java-jvm-snapstart-primed,512,1k,cold,1012.73,10956,10956,172,744399d7-ae47-4124-a34d-4b5baef218d5
2026-04-30T08:39:00Z,java-jvm-snapstart-primed,512,1k,cold,1032.14,10447,10447,170,f08d14bc-91b2-422d-aaf3-dc6a328e078f
2026-04-30T08:40:21Z,java-jvm-snapstart-primed,512,1k,cold,1001.94,10206,10206,168,5dd119d8-27c1-4cb3-8405-f8d6b72c48cd
2026-04-30T08:41:52Z,java-jvm-snapstart-primed,512,1k,cold,981.53,10514,10514,170,2e21fab9-cf46-4b50-a5e4-027c746dca6b
2026-04-30T08:43:26Z,java-jvm-snapstart-primed,512,1k,cold,905.08,10303,10303,169,6d81894b-49e6-45ac-a874-b1916616fb4f
2026-04-30T08:44:56Z,java-jvm-snapstart-primed,512,1k,cold,873.22,10535,10535,169,c22c43ef-36f4-4549-91f2-5526650475fb
2026-04-30T08:46:24Z,java-jvm-snapstart-primed,512,1k,cold,1051.41,10596,10596,171,9505bc4b-4479-410b-badd-861c32eb0cd6
2026-04-30T08:47:55Z,java-jvm-snapstart-primed,512,1k,cold,929.01,10102,10102,169,cc9e3591-9133-4f9d-b1b8-3cffced8235c
2026-04-30T08:49:25Z,java-jvm-snapstart-primed,512,1k,cold,1144.92,9830,9830,173,661fbd7d-6df5-4395-aa85-a046931042c6
2026-04-30T08:50:59Z,java-jvm-snapstart-primed,512,1k,cold,996.56,10317,10317,173,92010785-88e9-4fd0-a49c-cd81f7b0c487
2026-04-30T08:52:28Z,java-jvm-snapstart-primed,512,1k,cold,910.80,10342,10342,169,5774f5e7-535b-49dd-874b-14ad9fc34558
2026-04-30T08:53:58Z,java-jvm-snapstart-primed,512,1k,cold,972.26,10193,10193,166,1031dd95-7c36-4469-b85f-1dc1abcf6681
2026-04-30T08:55:28Z,java-jvm-snapstart-primed,512,1k,cold,1096.76,10209,10209,169,68ce7099-5b43-44db-8faa-4b43c69415fe
2026-04-30T08:56:58Z,java-jvm-snapstart-primed,512,1k,cold,914.82,10063,10063,174,846eb6b8-c54a-4ce1-b046-34f54ae7cd5c
2026-04-30T08:58:23Z,java-jvm-snapstart-primed,512,1k,cold,944.28,9523,9523,162,312403ed-bb8d-4d4c-a41c-f1c4cc5b2d20
2026-04-30T08:59:53Z,java-jvm-snapstart-primed,512,1k,cold,943.05,10435,10435,163,64ce203c-520d-401a-9223-f166de627bdc
2026-04-30T09:01:14Z,java-jvm-snapstart-primed,512,1k,cold,983.44,10647,10647,172,2b2e852e-f797-46dd-8028-0a12aaf2cace
2026-04-30T09:02:35Z,java-jvm-snapstart-primed,512,1k,cold,861.09,10678,10678,163,b12e915d-a539-48b4-a424-2d003cc9b9e8
2026-04-30T09:04:05Z,java-jvm-snapstart-primed,512,1k,cold,945.09,10313,10313,175,1bdd8663-170a-4ac9-91d2-39772fb94b22
2026-04-30T09:05:29Z,java-jvm-snapstart-primed,512,1k,cold,,226,226,178,818f3b82-fa96-49c1-b218-aea5e299e718
2026-04-30T09:06:50Z,java-jvm-snapstart-primed,512,1k,cold,921.63,10257,10257,169,01090322-f710-4b01-b013-bbc3c016379b
2026-04-30T09:08:21Z,java-jvm-snapstart-primed,512,1k,cold,935.44,10675,10675,173,78a6916a-acbe-405b-bd0b-36a0c2ef84d0
2026-04-30T09:09:42Z,java-jvm-snapstart-primed,512,1k,cold,1001.97,10815,10815,171,3626b479-7c9d-4430-9f4e-60a5d56d026f
2026-04-30T09:11:04Z,java-jvm-snapstart-primed,512,1k,cold,938.21,10855,10855,170,2c184f03-89f5-4413-a569-6654fca0f13c
2026-04-30T09:11:11Z,java-jvm-snapstart-primed,512,1k,warm,,42,42,170,360bc44d-07f4-445b-8b1b-e615e6eea6d1
2026-04-30T09:11:11Z,java-jvm-snapstart-primed,512,1k,warm,,62,62,170,639745de-e24e-4935-ac1d-a5634aaccc5e
2026-04-30T09:11:12Z,java-jvm-snapstart-primed,512,1k,warm,,37,37,170,850b2e83-882b-42fb-a8df-57e6a7087f8b
2026-04-30T09:11:13Z,java-jvm-snapstart-primed,512,1k,warm,,42,42,170,5193969a-7376-4512-9b67-ccd330b27283
2026-04-30T09:11:13Z,java-jvm-snapstart-primed,512,1k,warm,,84,84,170,1e006f66-538e-4a13-9d8f-4406b7fcbeea
2026-04-30T09:11:14Z,java-jvm-snapstart-primed,512,1k,warm,,99,99,170,8c2e5eb9-f9ee-45f6-a952-edd20a82c1b2
2026-04-30T09:11:14Z,java-jvm-snapstart-primed,512,1k,warm,,77,77,170,29990162-943d-48a6-844e-618b7691783f
